event_name,journey_id,event_definition_id,milestone_number,stage
application_phone_approved,1,15,1,Apply for Credit
application_phone_declined,1,16,,Apply for Credit
application_phone_pending,1,17,,Apply for Credit
application_web_approved,1,12,1,Apply for Credit
application_web_declined,1,13,,Apply for Credit
application_web_pending,1,14,,Apply for Credit
application_web_submit,1,3,,Apply for Credit
application_web_view,1,19,,Apply for Credit
account_activitation,1,29,3,Credit Account
account_fraud_review,1,37,,Credit Account
campaign_click,1,2,,Discover
customer_requested_catalog_digital,1,9,,Discover
fingerhut_university,1,10,,Discover
pre_application_3rd_party_affiliates,1,22,,Discover
site_registration,1,23,,Discover
account_downpaymentcleared,1,27,5,Downpayment
account_downpaymentreceived,1,26,,Downpayment
place_downpayment,1,8,4,Downpayment
place_downpayment_phone,1,25,4,Downpayment
add_to_cart,1,11,,First Purchase
begin_checkout,1,6,,First Purchase
browse_products,1,4,,First Purchase
place_order_phone,1,18,2,First Purchase
place_order_web,1,7,2,First Purchase
view_cart,1,5,,First Purchase
order_shipped,1,28,6,Order Shipped
catalog_email_experian,1,20,,Prospecting
catalog_mail,1,21,,Prospecting